Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Cypis - Białe Parapety,4,"",88,"","65,109","171,015"
Ariana Grande - intro (end of the world),4,"",84,"","62,972","170,989"
Marshmello - One Thing Right,13,"",125,"","15,913","170,886"
One Direction - A.M.,32,"",19,"","17,415","170,856"
Zac Efron - Rewrite The Stars,21,"",118,"","9,495","170,826"
Białas - Twerk,11,"",189,"","16,955","170,531"
Kendrick Lamar - United In Grief,4,"",38,"","75,936","170,508"
One Direction - Olivia,29,"",12,"","19,941","170,475"
Kukon - Aesthetic,5,"",123,"","41,727","170,431"
młody klakson - Lepszy model ale to UK GARAGE,5,"",86,"","49,916","170,423"
Elvis Presley - Blue Christmas,14,"",111,"","18,841","170,312"
Kendrick Lamar - meet the grahams,4,"",105,"","48,597","170,276"
Studio Accantus - Bóg się rodzi,2,"",70,"","90,598","170,193"
Ben Howard - I Forget Where We Were,93,"",71,"","3,291","169,821"
6ix9ine - YAYA,9,"",107,"","22,061","169,762"
Yello - Jingle Bells - Single Version,10,"",94,"","38,992","169,757"
Selena Gomez - Ring,7,"",52,"","37,934","169,318"
Jason Mraz - I'm Yours,81,"",61,"","5,321","169,284"
Joji - Die For You,6,"",179,"","30,408","169,269"
Drake - Pop Style,34,"",55,"","6,459","169,205"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),5,"",92,"","52,439","169,005"
Szpaku - Koniec,7,"",69,"","37,189","168,958"
Florence + The Machine - Jenny of Oldstones (Game of Thrones),11,"",50,"","23,022","168,843"
Susie Suh - Here with Me,83,"",49,"","4,028","168,791"
Avi - Soprano,6,"",96,"","38,436","168,680"
Billie Eilish - Oxytocin,6,"",89,"","39,646","168,533"
Otsochodzi - Taka Praca,4,"",49,"","67,923","168,532"
Sad Eye - Come Home,32,"",90,"","7,580","168,398"
Malik Montana - Sashimi Freestyle,4,"",63,"","67,282","168,043"
Julia Pośnik - niepoprawny numer - sped up,4,"",119,"","53,743","167,983"
Mata - 5 MALIN REMIX (bonus track),4,"",59,"","65,306","167,880"
Migos - Narcos,22,"",129,"","8,599","167,877"
Chivas - Death Metalowy T-Shirt,6,"",93,"","38,926","167,821"
Lil Peep - Life is Beautiful,12,"",58,"","22,765","167,640"
Lil Tecca - 500lbs,5,"",157,"","38,603","167,597"
Żabson - Ukryty w mieście krzyk [Projekt Tymczasem],15,"",79,"","14,674","167,526"
Coldplay - Paradise,100,"",127,"","5,634","167,419"
Chivas - To Nie Koniec,6,"",109,"","36,019","167,396"
Justin Bieber - Life Is Worth Living,35,"",39,"","12,656","167,389"
Young Multi - 48100,5,"",128,"","43,123","167,383"
Gorillaz - Feel Good Inc,59,"",114,"","9,211","167,349"
The Strumbellas - Spirits,66,"",95,"","3,441","167,168"
Antek Smykiewicz - Pomimo Burz,69,"",82,"","3,718","167,052"
Małpa - Budzę się,12,"",120,"","18,254","166,160"
TVORCHI - Heart of Steel - Eurovision Version,4,"",63,"","47,478","166,158"
Kim Petras - Alone,5,"",157,"","35,214","166,072"
Natalia Kukulska - Gdy sliczna panna,6,"",17,"","84,579","165,933"
Cypis - Duży Garaż,4,"",93,"","63,619","165,895"
Rasmentalism - Lip Sync,8,"",70,"","30,053","165,881"
Tymek - Mimosa,8,"",107,"","26,157","165,836"
Beteo - ON THE BLOCK,4,"",129,"","47,355","165,717"
Dua Lipa - Good In Bed,6,"",31,"","42,316","165,716"
Joji - Run,7,"",67,"","33,184","165,711"
Szpaku - Umrzyj Ze Mną,7,"",75,"","35,374","165,704"
Imagine Dragons - Nice to Meet You,4,"",166,"","45,277","165,613"
Imagine Dragons - It's Time,92,"",90,"","4,002","165,503"
Kaz Bałagane - Dzwony,4,"",41,"","61,565","165,284"
Silvester Belt - Luktelk,3,"",77,"","58,540","165,212"
Kukon - Diamond Fetish,5,"",114,"","45,322","164,854"
Taylor Swift - Blank Space (Taylor's Version),3,"",33,"","91,645","164,659"
Gryffin - Tie Me Down,18,"",136,"","10,360","164,583"
Metro Boomin - Raindrops (Insane) [with Travis Scott],5,"",143,"","35,368","164,569"
Eminem - The Monster,80,"",87,"","3,072","164,531"
Malik Montana - Łyżka,10,"",120,"","21,386","164,283"
Ava Max - Choose Your Fighter (From Barbie The Album),5,"",152,"","37,077","164,241"
Harry Styles - Meet Me in the Hallway,19,"",22,"","21,992","164,220"
Marco Mengoni - Due Vite,4,"",61,"","48,089","164,200"
Armin van Buuren - Come Around Again,5,"",172,"","43,515","164,177"
5 Seconds of Summer - No Shame,8,"",96,"","27,179","164,030"
Białas - Chciałbym się godnie zestarzeć,4,"",80,"","46,826","163,912"
Mumford & Sons - Snake Eyes,40,"",24,"","7,968","163,883"
Olivia Rodrigo - making the bed,4,"",81,"","55,121","163,872"
Waima - DEREALIZACJA,4,"",88,"","56,375","163,867"
Adele - To Be Loved,5,"",103,"","44,129","163,801"
Alberto - Kopy Na Głowę,4,"",79,"","44,869","163,750"
Ali Gatie - It's You,13,"",169,"","13,712","163,554"
KęKę - Na dłoni,17,"",59,"","15,881","163,535"
"Lana Del Rey - Paris, Texas",4,"",94,"","49,366","163,449"
Justin Hurwitz - Planetarium,31,"",82,"","7,359","163,186"
Harry Styles - Two Ghosts,20,"",26,"","20,684","162,900"
The Weeknd - Out of Time,5,"",81,"","47,517","162,899"
Kanye West - Selah,6,"",32,"","41,290","162,780"
Boney M. - Mary's Boy Child / Oh My Lord,28,"",19,"","18,523","162,699"
XXXTENTACION - NUMB,14,"",34,"","22,414","162,692"
Ariana Grande - Let Me Love You,40,"",54,"","7,552","162,389"
Kygo - It Ain’t Me,4,4,3,(x3),"49,930","162,349"
Birdy - Skinny Love,87,"",111,"","2,292","162,296"
Kendrick Lamar - PRIDE.,16,"",24,"","20,141","162,179"
Tribbs - Kiedyś Cię Znajdę,4,"",90,"","49,022","162,153"
BTS - Mikrokosmos,7,1,9,"","42,832","161,952"
Lil Peep - Runaway,12,"",60,"","22,494","161,850"
Lil Uzi Vert - Suicide Doors,3,"",32,"","85,218","161,817"
Memphis Cult - 9mm,5,"",158,"","38,082","161,531"
Lauv - Enemies,19,"",139,"","10,020","161,447"
Gang Albanii - Wyprawa do Kasyna,67,"",79,"","3,246","161,054"
Duke Dumont - I Got U,88,"",44,"","4,399","160,992"
Żabson - Mantra,19,"",89,"","10,816","160,816"
Stray Kids - S-Class,4,"",62,"","55,035","160,762"
Christina Aguilera - Have Yourself a Merry Little Christmas,30,"",36,"","14,837","160,573"
Paluch - Sidła,8,"",30,"","31,480","160,558"
J Balvin - Ginza,68,"",65,"","3,877","160,515"
Sonya Belousova - Toss A Coin To Your Witcher,8,"",66,"","30,949","160,352"
Khalid - Outta My Head,11,"",74,"","20,904","160,034"
The Weeknd - Scared To Live,6,"",26,"","46,084","159,754"
Team X - BARWY,7,"",170,"","24,766","159,722"
Trippie Redd - Miss The Rage,6,"",106,"","36,701","159,680"
Gryffin - Heading Home,57,"",66,"","5,885","159,627"
Dream - Mask,5,"",62,"","46,929","159,526"
Mariah Carey - Oh Santa!,6,"",117,"","53,749","159,351"
BANNERS - Start A Riot,60,"",88,"","3,648","159,267"
Jan Stosur - Gdy się Chrystus rodzi,2,"",59,"","97,038","159,216"
VAE VISTIC - Kochałem to co wulgarne,4,"",79,"","47,216","159,075"
Kanye West - On God,6,"",36,"","39,880","158,809"
¥$ - PAPERWORK,4,"",90,"","49,504","158,766"
Taylor Swift - Sweet Nothing,4,"",96,"","54,450","158,283"
Oki - POLITYK,7,"",73,"","36,506","158,234"
Lanek - AFRYKA,4,"",63,"","60,773","158,099"
ReTo - Co Cię trapi,9,"",136,"","19,640","157,959"
Kukon - Algorytm,5,"",139,"","38,409","157,924"
KęKę - Bajka,8,"",61,"","30,468","157,885"
Billie Eilish - TV,5,"",119,"","39,282","157,880"
Drake - Search & Rescue,5,"",136,"","37,687","157,876"
John Newman - Come And Get It,64,"",62,"","4,135","157,726"
Kortez - Pierwsza,22,"",63,"","10,635","157,679"
Melanie Martinez - VOID,4,"",88,"","48,704","157,623"
Kodak Black - Tunnel Vision,30,"",84,"","7,070","157,556"
Cleo - Polskie Mexico,7,"",139,"","29,316","157,426"
Miley Cyrus - Cattitude,8,"",47,"","29,079","157,294"
Shawn Mendes - Teach Me How To Love,5,"",36,"","53,644","157,203"
Macklemore - Marmalade,30,"",112,"","6,786","157,131"
Agust D - Daechwita,6,"",23,"","44,440","157,027"
Kanye West - Ok Ok,3,"",24,"","90,162","156,988"
ReTo - Bogowie nocy,5,"",124,"","36,589","156,933"
White 2115 - Pół życia,4,"",66,"","56,479","156,639"
Little Mix - Love Me Like You,58,"",69,"","4,023","156,594"
Nicky Jam - El Amante,39,"",153,"","4,800","156,571"
Kizo - Przeznaczenie,4,"",77,"","51,114","156,527"
DJ Snake - Selfish Love,8,"",90,"","28,912","156,485"
Doja Cat - Candy,11,"",173,"","15,065","156,348"
Kukon - deszcz pada na namiot,6,"",43,"","36,633","156,002"
Joji - Gimme Love,9,"",134,"","20,984","155,942"
BTS - Take Two,4,"",59,"","57,615","155,896"
Taylor Swift - The Man,9,"",54,"","29,410","155,868"
Dream - Change My Clothes,6,"",85,"","41,529","155,606"
Taylor Swift - Welcome To New York (Taylor's Version),3,"",34,"","87,261","155,429"
Szpaku - Bal,6,"",71,"","33,613","155,397"
"The Offspring - You're Gonna Go Far, Kid",101,"",145,"","2,326","155,188"
O.S.T.R. - Prędkość,15,"",55,"","14,649","155,003"
Josef Bratan - Gwiazda,6,"",168,"","30,759","154,892"
Kendrick Lamar - YAH.,15,"",23,"","21,580","154,889"
Siemacha - Przybieżeli do betlejem,6,"",73,"","43,349","154,858"
Florence + The Machine - Dog Days Are Over,22,"",73,"","14,179","154,796"
Paluch - Amalgamat,8,"",41,"","29,274","154,759"
Kwiat Jabłoni - Maska,6,"",62,"","35,625","154,493"
Paluch - Opozycja,8,"",38,"","29,613","154,417"
Kabe - Nieporozumienie,5,"",166,"","33,457","154,270"
Moli - Złe Towarzystwo,7,"",113,"","26,485","154,007"
Michael Bublé - Have Yourself a Merry Little Christmas,45,"",42,"","10,114","153,734"
Jan Stosur - Wśród nocnej ciszy,2,"",52,"","103,424","153,692"
ENHYPEN - Bite Me,4,"",91,"","42,583","153,660"
