Artist and Title,Days,Pk,(x?),Total,Today
"Cardi B, Bad Bunny & J Balvin - I Like It",361,4,"","2,418,245",0
Lana Del Rey - Video Games,252,10,"","2,400,401",0
Avicii - Addicted To You,272,8,"","2,397,214",0
Shawn Mendes - Treat You Better,251,3,(x1),"2,392,725",0
Katy Perry - Chained to the Rhythm,216,2,(x1),"2,389,805",0
Sam Smith - Too Good at Goodbyes,231,2,(x4),"2,381,966",0
Camila Cabello - Bam Bam,264,1,(x3),"2,381,447",0
J Balvin & Willy William - Mi Gente,251,1,(x7),"2,378,823",0
Rihanna - Lift Me Up,361,1,(x20),"2,378,371",340
Jonas Brothers - Sucker,337,2,(x6),"2,377,677",0
Maroon 5 - Animals,272,2,(x1),"2,375,341",0
Stromae - Alors on danse,263,12,"","2,367,294",31
Aloe Blacc - I Need A Dollar,442,27,"","2,365,410",53
Imagine Dragons - Bad Liar,473,9,"","2,359,653",29
Owl City & Carly Rae Jepsen - Good Time,271,3,(x1),"2,350,760",0
The Weeknd - The Hills,313,8,"","2,350,363",0
David Guetta - Play Hard,256,8,"","2,345,818",0
Christina Perri - Jar of Hearts,350,29,"","2,343,846",451
Imagine Dragons - On Top of the World,400,34,"","2,341,307",0
Faul & Wad Ad & Pnau - Changes,304,14,"","2,336,276",0
P!nk & Willow Sage Hart - Cover Me In Sunshine,373,2,(x2),"2,334,011",196
David Guetta & Sia - Flames,275,3,(x2),"2,329,899",0
ZAZ - Je veux,267,44,"","2,328,948",0
Adele - Send My Love,278,8,"","2,321,597",89
Kid Cudi - Pursuit of Happiness,237,39,"","2,316,530",0
Ariana Grande - No Tears Left to Cry,270,1,(x14),"2,314,073",0
David Guetta - Hey Mama,223,4,"","2,311,058",10
Stromae - Papaoutai,369,34,"","2,310,695",0
Coldplay X BTS - My Universe,313,1,(x10),"2,307,869",151
Calvin Harris - I Need Your Love,269,11,"","2,302,439",250
Avicii - The Nights,307,7,"","2,292,258",0
Tiësto & Ava Max - The Motto,552,4,"","2,287,960",464
DJ Snake & Lil Jon - Turn Down For What,261,16,"","2,287,924",157
Rema - Calm Down,525,8,"","2,287,576",59
Labrinth - Beneath Your Beautiful,321,20,"","2,276,001",338
Jason Derülo - Wiggle,250,5,"","2,268,973",0
Lady GaGa - The Edge of Glory,250,1,(x3),"2,254,996",0
Billie Eilish & Khalid - lovely,898,31,"","2,249,170",124
Taio Cruz - Hangover,255,10,"","2,248,587",0
P!nk - Raise Your Glass,227,6,"","2,244,765",202
AronChupa - I'm an Albatraoz,270,13,"","2,239,273",0
Riton & Nightcrawlers - Friday,303,3,(x4),"2,238,574",0
Calum Scott - You Are the Reason,692,24,"","2,234,037",0
Tom Odell - Another Love,511,21,"","2,232,758","1,533"
Ed Sheeran - Beautiful People,252,3,(x3),"2,231,174",0
The Black Eyed Peas - Just Can't Get Enough,214,3,(x2),"2,230,507",0
