Artist,Total,Today,1M,2M,3M,4M,5M
Selena Gomez,"1,837,772",0,1,0,0,0,0
Jamule,"1,835,497",0,0,0,0,0,0
Thorbjørn Egner,"1,834,767",296,1,0,0,0,0
Nothing But Thieves,"1,830,449",155,0,0,0,0,0
Capital Bra & Samra,"1,824,870",0,1,0,0,0,0
"Schlafmusik, Entspannungsmusik Oase & Regengeräusche","1,823,220","3,759",1,0,0,0,0
Farid Bang,"1,810,527",0,0,0,0,0,0
Eva,"1,807,201","2,151",0,0,0,0,0
"Bruno Mars, Anderson .Paak & Silk Sonic","1,801,992",73,1,0,0,0,0
5 Seconds of Summer,"1,799,075",0,1,0,0,0,0
The Chainsmokers,"1,797,634",0,0,0,0,0,0
Loredana,"1,796,445",0,1,0,0,0,0
C. Tangana,"1,795,213",409,1,0,0,0,0
Yeat,"1,764,011",738,0,0,0,0,0
Ludovico Einaudi,"1,763,448",257,0,0,0,0,0
Баста,"1,762,451",375,0,0,0,0,0
Grand Corps Malade,"1,758,155",0,0,0,0,0,0
Хаски,"1,754,085",0,1,0,0,0,0
Noyz Narcos,"1,752,254",98,0,0,0,0,0
Kylie Minogue,"1,748,693",0,0,0,0,0,0
Pizzera & Jaus,"1,746,691",141,0,0,0,0,0
Melendi,"1,746,461",646,0,0,0,0,0
Rolf Zuckowski und seine Freunde,"1,736,544",0,0,0,0,0,0
"¥$, Kanye West & Ty Dolla $ign","1,735,424","5,022",1,0,0,0,0
Fabri Fibra,"1,734,066",105,0,0,0,0,0
Madman,"1,733,790","2,892",0,0,0,0,0
La superstar des comptines rondes et berceuses,"1,730,538","1,643",1,0,0,0,0
UZI,"1,727,005","1,893",0,0,0,0,0
50 Cent,"1,724,544",784,0,0,0,0,0
Emis Killa,"1,721,698",215,0,0,0,0,0
Naza,"1,720,283",0,0,0,0,0,0
Leiva,"1,702,500",0,0,0,0,0,0
lil krystalll,"1,694,716",882,1,0,0,0,0
James Blake,"1,694,526",0,0,0,0,0,0
blink-182,"1,693,806",158,1,0,0,0,0
Izal,"1,689,302",0,0,0,0,0,0
Panic! At the Disco,"1,686,862",0,1,0,0,0,0
SODA LUV,"1,684,518",0,0,0,0,0,0
Hornet La Frappe,"1,678,692",0,0,0,0,0,0
Michael Jackson,"1,678,306","1,480",0,0,0,0,0
Kings of Leon,"1,667,419","4,509",0,0,0,0,0
Lil Kleine,"1,659,409",0,1,0,0,0,0
Izi,"1,658,989",135,0,0,0,0,0
Jerome,"1,650,150",0,0,0,0,0,0
"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson","1,650,047","1,684",1,0,0,0,0
MACAN,"1,643,963",642,0,0,0,0,0
Blandade Artister,"1,643,544",272,0,0,0,0,0
FRIENDLY THUG 52 NGG,"1,642,248","4,628",0,0,0,0,0
Miami Yacine,"1,641,742",0,0,0,0,0,0
Bausa,"1,634,444",235,0,0,0,0,0
Olexesh,"1,632,304",859,0,0,0,0,0
Norah Jones,"1,628,399",156,0,0,0,0,0
Macklemore,"1,626,565",0,1,0,0,0,0
Heuss L'enfoiré,"1,625,850",0,1,0,0,0,0
Original Broadway Cast of Hamilton,"1,621,477",0,1,0,0,0,0
Jovanotti,"1,620,473",0,0,0,0,0,0
Sarah Connor,"1,618,951",0,1,0,0,0,0
Tedua & Chris Nolan,"1,616,917",431,1,0,0,0,0
Demi Lovato,"1,616,351",0,0,0,0,0,0
Offset,"1,614,829",0,1,0,0,0,0
Myke Towers,"1,610,713",621,0,0,0,0,0
18 Karat,"1,608,993",0,0,0,0,0,0
HATIK,"1,604,420",0,0,0,0,0,0
Fredo,"1,603,021",0,0,0,0,0,0
Dardan,"1,602,791",0,0,0,0,0,0
Viktor Sheen,"1,601,269","1,026",0,0,0,0,0
Marco Mengoni,"1,600,352",0,0,0,0,0,0
Lil Tjay,"1,598,547",16,0,0,0,0,0
Romeo Santos,"1,597,886",0,0,0,0,0,0
Irama,"1,594,710",0,0,0,0,0,0
Tarkan,"1,594,426",178,0,0,0,0,0
HammAli & Navai,"1,591,246",158,0,0,0,0,0
Azet & Zuna,"1,588,527",0,1,0,0,0,0
Монеточка,"1,587,330","1,173",1,0,0,0,0
M Huncho,"1,583,353",0,0,0,0,0,0
Nines,"1,583,107",42,0,0,0,0,0
KALIM,"1,581,545",0,0,0,0,0,0
"Peter Plate, Ulf Leo Sommer & Bibi und Tina","1,578,003","2,397",0,0,0,0,0
Arcade Fire,"1,575,773",23,0,0,0,0,0
Clara Luciani,"1,571,726",0,1,0,0,0,0
Mahmood,"1,563,963",745,0,0,0,0,0
Skepta,"1,562,188",0,1,0,0,0,0
OBLADAET,"1,552,436",666,0,0,0,0,0
The Carters,"1,551,509",0,1,0,0,0,0
The Killers,"1,551,098",56,0,0,0,0,0
Asake,"1,549,381",162,0,0,0,0,0
Kinderen Voor Kinderen,"1,549,313",0,0,0,0,0,0
The Black Eyed Peas,"1,541,374",0,1,0,0,0,0
PSICOLOGI,"1,539,042",0,0,0,0,0,0
James Arthur,"1,537,472",0,0,0,0,0,0
Vianney,"1,535,682",0,0,0,0,0,0
Trettmann & KitschKrieg,"1,535,671",0,0,0,0,0,0
Noah Kahan,"1,534,249","2,490",1,0,0,0,0
"HUNCHO JACK, Travis Scott & Quavo","1,531,432",0,1,0,0,0,0
Tha Supreme,"1,528,058",0,1,0,0,0,0
KC Rebell & Summer Cem,"1,526,289",0,0,0,0,0,0
Slipknot,"1,520,519",0,1,0,0,0,0
Mark Forster,"1,509,495",0,0,0,0,0,0
Mariah Carey,"1,507,668",431,0,0,0,0,0
Massimo Pericolo,"1,505,376",388,1,0,0,0,0
Charlie Puth,"1,504,129",0,1,0,0,0,0
Amy Winehouse,"1,503,208","5,384",1,0,0,0,0
SXTN,"1,501,941",0,1,0,0,0,0
Wincent Weiss,"1,497,795",0,0,0,0,0,0
Charli XCX,"1,496,417","7,770",0,0,0,0,0
Lartiste,"1,495,542",0,0,0,0,0,0
Rocket,"1,488,326",28,0,0,0,0,0
Vários intérpretes,"1,486,987",0,0,0,0,0,0
Imen Es,"1,485,332",0,0,0,0,0,0
Cigarettes After Sex,"1,479,224","4,075",1,0,0,0,0
Sherlock Holmes Chronicles,"1,477,225",0,0,0,0,0,0
MACHETE,"1,476,828",118,1,0,0,0,0
The Black Keys,"1,474,386",254,0,0,0,0,0
OBOY,"1,473,951",0,0,0,0,0,0
Soprano,"1,469,593",322,0,0,0,0,0
Linda Beldad,"1,468,727",989,1,0,0,0,0
Kodak Black,"1,468,710",0,0,0,0,0,0
Manuel Carrasco,"1,466,934",50,0,0,0,0,0
Sonido de Lluvia de IMG Library,"1,466,785","1,048",1,0,0,0,0
Carl Brave x Franco 126,"1,463,959",0,0,0,0,0,0
"SIX, Toby Marlow & Lucy Moss","1,462,215","1,151",1,0,0,0,0
Baby Sleep Music,"1,456,872",244,1,0,0,0,0
Jungle,"1,455,320",384,0,0,0,0,0
Aitana,"1,450,111",352,0,0,0,0,0
Rich The Kid,"1,442,924",0,0,0,0,0,0
Sofiane,"1,440,343",0,0,0,0,0,0
Би-2,"1,439,863",0,1,0,0,0,0
Sherlock Holmes,"1,437,232",0,0,0,0,0,0
Nina Chuba,"1,426,819",750,1,0,0,0,0
PRO8L3M,"1,422,686",567,0,0,0,0,0
Trettmann,"1,416,327",461,1,0,0,0,0
1PLIKÉ140,"1,412,594",0,0,0,0,0,0
Robbie Williams,"1,410,469",0,1,0,0,0,0
Noize MC,"1,406,366",0,0,0,0,0,0
MHD,"1,401,473",0,0,0,0,0,0
KC Rebell,"1,397,092",0,0,0,0,0,0
Nej,"1,396,926",0,0,0,0,0,0
Sagopa Kajmer,"1,395,767",86,0,0,0,0,0
Haftbefehl,"1,393,905",0,0,0,0,0,0
Michele Garruti & Giampaolo Pasquile,"1,391,567","1,395",1,0,0,0,0
Franco126,"1,388,830",0,1,0,0,0,0
Soso Maness,"1,388,812",0,0,0,0,0,0
TOMORROW X TOGETHER,"1,385,497",117,0,0,0,0,0
Fred again..,"1,380,452",104,0,0,0,0,0
Scally Milano,"1,379,429",0,0,0,0,0,0
Lynda,"1,377,914",545,0,0,0,0,0
Eladio Carrión,"1,376,739","1,400",0,0,0,0,0
Feid,"1,373,881",499,0,0,0,0,0
The Rolling Stones,"1,371,388",131,0,0,0,0,0
Zuna,"1,365,729",0,0,0,0,0,0
Night Skinny,"1,362,692",0,1,0,0,0,0
Eddy de Pretto,"1,360,549",0,0,0,0,0,0
Bryson Tiller,"1,358,507",205,0,0,0,0,0
Rain Sounds,"1,353,904","2,501",1,0,0,0,0
Vegas Jones,"1,353,066",0,0,0,0,0,0
André Hazes,"1,350,806",88,0,0,0,0,0
21 Savage & Metro Boomin,"1,346,684",0,1,0,0,0,0
Dosseh,"1,343,974",0,0,0,0,0,0
YL,"1,338,976",0,0,0,0,0,0
Kaza,"1,338,384",0,0,0,0,0,0
PARTYNEXTDOOR,"1,333,210","5,168",0,0,0,0,0
Mumford & Sons,"1,324,645",0,1,0,0,0,0
Mora,"1,323,225",496,0,0,0,0,0
Anne-Marie,"1,322,915",0,0,0,0,0,0
Headie One,"1,322,818",0,0,0,0,0,0
