Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
92,-6,Osirus Jack - TSAR NOIR,12,40,"",2887,-52,0.050,"","",20,"",""
93,+5,Booba - AD VITAM ÆTERNAM,117,21,"",2871,+162,0.528,"","",18,"",""
94,+11,Pearl Jam - Dark Matter,48,4,"",2831,+226,0.511,104,121,"",107,""
95,-7,Jul - Décennie,138,16,"",2813,-72,0.523,"","",10,"",""
96,-2,FRIENDLY THUG 52 NGG - Cristoforo Colombo,215,35,"",2789,+20,0.675,"","","","",5
97,+7,Rammstein - RAMMSTEIN,1632,3,(x17),2785,+166,8.153,"",55,"","",47
98,+3,Taylor Swift - evermore,1176,1,(x27),2777,+141,7.600,61,120,"","",""
99,-10,K-Trap - SMILE,5,70,"",2681,-184,0.025,4,"","","",""
100,-15,Zaho de Sagazan - La symphonie des éclairs,166,39,"",2674,-312,0.597,"",151,40,"",""
101,-1,Tony Effe - ICON,82,31,"",2664,+27,0.269,"","","",8,""
102,+1,Miyagi & Эндшпиль - NARRATIVE,145,12,"",2621,-1,0.539,"","","","",7
103,+14,Ninho - NI,341,15,"",2576,+272,1.404,"","",17,"",""
104,+2,Платина - Платина,61,39,"",2537,-42,0.207,"","","","",8
105,-3,Diss Gacha & Sala - Cultura Italiana Pt.1,5,81,"",2531,-103,0.014,"","","",5,""
106,+5,PLK - Chambre 140,138,24,"",2502,+72,0.582,"","",22,"",""
107,+14,Noah Kahan - Stick Season,362,8,"",2489,+262,1.518,23,"","","",""
108,+26,Kanye West - My Beautiful Dark Twisted Fantasy,317,35,"",2489,+466,1.926,108,129,"",139,95
