Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
mgng - COCO,50,9,3,(x1),"1,216,017","26,426,036"
Billie Eilish - bad guy,82,16,1,(x10),"804,993","26,134,065"
Ronnie Ferrari - Ona By Tak Chciała,73,16,1,(x8),"1,314,527","26,132,866"
Favst - halo,108,"",18,"","343,171","26,079,020"
Kizo - HERO,16,12,1,(x6),"2,981,890","26,020,972"
TACONAFIDE - 8 kobiet - Remix,159,7,4,"","353,981","25,967,532"
Arctic Monkeys - Why'd You Only Call Me When You're High?,144,"",22,"","351,180","25,866,114"
Żabson - Sexoholik,110,5,4,"","596,038","25,824,790"
Eminem - Mockingbird,74,"",15,"","615,903","25,657,741"
sanah - Marcepan,35,14,2,(x3),"1,500,846","25,600,032"
Sam Smith - Unholy,40,13,4,"","1,282,262","25,530,140"
sanah - Melodia,91,12,5,"","572,349","25,325,467"
Guzior - Płuca zlepione topami,171,"",17,"","288,180","25,165,098"
Jan-Rapowanie - Wybory,130,1,9,"","332,826","25,058,172"
SB Maffija - Parapetówa,40,11,1,(x1),"2,281,719","25,055,294"
Diho - Szyby,46,5,2,(x1),"1,430,379","24,708,271"
Kleks - Jestem Twoją Bajką,38,8,2,(x1),"1,430,789","24,650,166"
Måneskin - I WANNA BE YOUR SLAVE,46,11,2,(x1),"1,351,564","24,540,560"
Magiera - Drobna zabawa,52,7,9,"","1,003,986","24,531,789"
Elton John - Cold Heart - PNAU Remix,71,"",19,"","619,374","24,233,225"
The Kid LAROI - Stay,56,2,9,"","834,667","24,160,944"
Mata - Blok,63,3,5,"","1,517,939","24,152,271"
The Weeknd - Starboy,133,21,1,(x6),"314,872","24,061,009"
Imagine Dragons - Bones,79,"",36,"","459,522","23,968,249"
"Lanberry - Dzięki, że jesteś",29,9,3,(x2),"1,313,033","23,946,732"
Dawid Podsiadło - Trofea,102,15,5,"","800,028","23,725,971"
"Beach Weather - Sex, Drugs, Etc.",87,"",58,"","361,106","23,699,122"
2115 - KETCHUP,44,9,2,(x1),"1,517,138","23,573,489"
Oki - Doja Cat,62,3,6,"","874,440","23,558,046"
Oki - Jeżyk!,61,3,6,"","1,333,489","23,403,786"
Chivas - Narcyz,55,4,3,(x1),"1,272,609","23,399,918"
Smolasty - Pijemy Za Lepszy Czas,26,14,2,(x2),"1,738,592","23,144,371"
Ariana Grande - Santa Tell Me,55,15,3,(x3),"1,464,433","23,102,459"
"Dawid, Artysta - Pakuje Walize",60,"",13,"","760,640","23,087,104"
Eminem - Without Me,105,"",69,"","423,145","22,999,098"
Travis Scott - FE!N,44,1,3,(x1),"1,241,900","22,957,534"
NIKOŚ - HIPNOZA,26,7,1,(x1),"2,156,356","22,950,211"
SB Maffija - Proste fakty,38,9,3,(x2),"1,641,296","22,889,744"
chillwagon - @,81,13,4,"","553,704","22,782,338"
Lost Frequencies - Where Are You Now,71,"",28,"","517,783","22,750,074"
Quebonafide - TOKYO2020,72,12,1,(x1),"1,518,119","22,471,109"
James Hype - Ferrari,59,"",11,"","735,199","22,384,164"
Dua Lipa - Don't Start Now,90,9,4,"","553,408","22,376,581"
Artemas - i like the way you kiss me,10,10,1,(x4),"2,740,099","22,368,285"
Ed Sheeran - Bad Habits,54,2,10,"","808,600","22,359,689"
Gawryle - Harnaś ice tea,41,6,1,(x1),"1,672,086","22,237,387"
Gibbs - Drive,27,7,2,(x2),"1,831,386","22,216,637"
Szpaku - Plaster,21,10,1,(x2),"1,885,916","22,194,348"
sanah - 2:00,55,6,4,"","861,645","22,156,822"
Sobel - Kinol,65,4,7,"","615,471","22,139,848"
Loreen - Tattoo,48,4,2,(x1),"1,615,472","21,796,542"
2115 - TURYSTA,55,5,3,(x1),"1,117,809","21,607,284"
Lana Del Rey - Summertime Sadness,79,"",72,"","334,858","21,601,431"
Malik Montana - Do Tanca,36,11,1,(x2),"1,486,452","21,512,770"
sanah - Pocałunki (M. Pawlikowska- Jasnorzewska),40,1,7,"","980,218","21,337,482"
Oki - SIRI,93,1,9,"","538,678","21,268,448"
Żabson - Floyd Mayweather,85,6,7,"","472,276","21,183,052"
Shawn Mendes - Señorita,66,16,1,(x4),"1,007,392","21,006,359"
Pezet - Magenta (prod. Auer),104,1,9,"","421,738","20,969,539"
Taco Hemingway - Fiji,112,10,1,(x1),"713,329","20,963,604"
Malik Montana - Rundki,100,1,8,"","438,206","20,961,403"
Riton - Friday,61,5,5,"","618,947","20,909,963"
Kubi Producent - Woda Księżycowa,10,8,1,(x4),"2,578,843","20,767,200"
Brenda Lee - Rockin' Around The Christmas Tree,36,10,3,(x3),"1,793,919","20,750,613"
sanah - kolońska i szlugi,42,5,2,(x1),"2,165,171","20,732,883"
Dawid Podsiadło - Najnowszy Klip,106,9,2,(x1),"880,324","20,705,431"
Mata - PATOPROHIBICJA - 28.01.2022,30,4,1,(x1),"2,882,113","20,661,362"
Kalwi & Remi - Explosion Ech poleczko - DNSQ Remix,37,1,9,"","862,439","20,660,759"
Sia - Snowman,39,9,4,"","1,671,756","20,539,765"
Gedz - Bali,101,"",18,"","310,359","20,498,015"
Kenya Grace - Strangers,36,2,9,"","841,115","20,454,964"
5 Seconds of Summer - Youngblood,118,6,7,"","326,681","20,415,295"
Kartky - Outside,119,"",28,"","224,552","20,347,669"
Ekipa - Zygzak,43,6,1,(x3),"1,857,732","20,248,485"
Dawid Podsiadło - Pastempomat,186,"",24,"","407,153","20,221,287"
MEDUZA - Bad Memories,62,"",19,"","514,092","20,080,558"
Billie Eilish - lovely,151,"",31,"","228,614","20,067,873"
Labrinth - Formula,77,"",78,"","329,276","19,990,287"
Tribbs - Zatańczysz ze mną,32,1,9,"","956,705","19,972,433"
