Artist,Total,Today,1M,2M,3M,4M,5M
Bethel Music,"1,491,895",23,0,0,0,0,0
Lil Baby & Lil Durk,"1,491,786",28,1,0,0,0,0
The National,"1,488,757",0,0,0,0,0,0
Lil Pump,"1,483,855",0,1,0,0,0,0
Lizzo,"1,467,718",0,0,0,0,0,0
Diljit Dosanjh,"1,466,551",420,0,0,0,0,0
Gusttavo Lima,"1,466,534",109,0,0,0,0,0
AnnenMayKantereit,"1,455,680",76,0,0,0,0,0
MagicMotion,"1,453,594",571,1,0,0,0,0
Rich The Kid,"1,442,977",0,0,0,0,0,0
Ella Mai,"1,441,628",0,1,0,0,0,0
Gzuz,"1,427,862",0,0,0,0,0,0
Lil Baby & Gunna,"1,425,863",0,1,0,0,0,0
RELAX WORLD,"1,415,359","1,139",0,0,0,0,0
林俊杰,"1,415,018",580,0,0,0,0,0
Soda Stereo,"1,409,128",70,0,0,0,0,0
Pentatonix,"1,408,562",0,0,0,0,0,0
Coez,"1,406,806",0,0,0,0,0,0
2Pac,"1,404,289",0,0,0,0,0,0
Stromae,"1,403,284",21,1,0,0,0,0
Jonas Brothers,"1,398,791",0,1,0,0,0,0
Rels B,"1,398,060","2,352",0,0,0,0,0
Tulus,"1,396,831",420,0,0,0,0,0
藤井 風,"1,394,101",0,0,0,0,0,0
Hans Zimmer,"1,391,982",212,0,0,0,0,0
Sagopa Kajmer,"1,391,068",86,0,0,0,0,0
Mr.Children,"1,387,361",339,0,0,0,0,0
Maître Gims,"1,379,184",0,0,0,0,0,0
Radiohead,"1,374,445","1,710",0,0,0,0,0
Michael Jackson,"1,370,164","1,859",0,0,0,0,0
Agust D,"1,367,346",147,0,0,0,0,0
Madonna,"1,365,822",182,1,0,0,0,0
"HUNCHO JACK, Travis Scott & Quavo","1,365,695",0,1,0,0,0,0
Baby Keem,"1,358,902",0,1,0,0,0,0
LEA,"1,357,382",0,0,0,0,0,0
Conan Gray,"1,354,705",89,0,0,0,0,0
Silly Fools,"1,350,782","1,638",0,0,0,0,0
MARKUL,"1,347,778",0,0,0,0,0,0
The Killers,"1,347,377",56,0,0,0,0,0
Cartel de Santa,"1,336,496",235,0,0,0,0,0
Carlos Vives,"1,335,884",72,0,0,0,0,0
BAD HOP,"1,333,083","2,168",0,0,0,0,0
Miyagi & Andy Panda,"1,332,896",403,1,0,0,0,0
Silvestre Dangond,"1,328,460",692,0,0,0,0,0
Kings of Leon,"1,324,525","2,855",0,0,0,0,0
Lil Tecca,"1,323,384",0,0,0,0,0,0
Chance the Rapper,"1,320,892",0,0,0,0,0,0
Kollegah,"1,317,267",0,0,0,0,0,0
Anderson .Paak,"1,315,115",0,0,0,0,0,0
Westlife,"1,313,951",7,0,0,0,0,0
AK Ausserkontrolle,"1,311,628",0,0,0,0,0,0
ZAYN,"1,308,663","1,074",0,0,0,0,0
T-Fest,"1,306,345",171,0,0,0,0,0
Sebastián Yatra,"1,304,765",0,0,0,0,0,0
Face,"1,304,654",86,0,0,0,0,0
1MILL,"1,296,688",423,0,0,0,0,0
Geolier,"1,296,675",862,0,0,0,0,0
Fuerza Regida,"1,292,408","2,437",0,0,0,0,0
London Grammar,"1,291,798",0,0,0,0,0,0
Henrique & Juliano,"1,288,464",27,0,0,0,0,0
"Rich Music LTD, Sech & Dalex","1,279,091",105,1,0,0,0,0
宇多田光,"1,274,020","1,525",0,0,0,0,0
Leto,"1,270,190",47,0,0,0,0,0
Ernia,"1,269,281",43,0,0,0,0,0
Alan Walker,"1,268,977",0,0,0,0,0,0
Niro,"1,268,368",0,0,0,0,0,0
Pusha T,"1,258,472",0,0,0,0,0,0
サカナクション,"1,254,288",62,0,0,0,0,0
Детские сны Звезда Academy,"1,250,864",746,1,0,0,0,0
Amit Trivedi,"1,249,674",122,0,0,0,0,0
Amy Winehouse,"1,248,898","3,498",1,0,0,0,0
Jay Chou,"1,246,111",696,0,0,0,0,0
TAEYEON,"1,241,153",0,0,0,0,0,0
Manuel Medrano,"1,237,916",222,1,0,0,0,0
BIGBANG,"1,232,319",215,0,0,0,0,0
Franglish,"1,227,804",288,0,0,0,0,0
Rag'n'Bone Man,"1,226,442",0,0,0,0,0,0
マカロニえんぴつ,"1,218,797",922,0,0,0,0,0
187 Strassenbande,"1,218,555",0,0,0,0,0,0
Azet,"1,214,006",0,0,0,0,0,0
UVERworld,"1,210,358",64,0,0,0,0,0
Dr. Dre,"1,209,279",186,0,0,0,0,0
Polycat,"1,208,762",161,1,0,0,0,0
James Blake,"1,206,149",0,0,0,0,0,0
SAINt JHN,"1,202,866",0,0,0,0,0,0
清水 翔太,"1,201,084",0,0,0,0,0,0
Guè Pequeno,"1,199,797",0,0,0,0,0,0
Josman,"1,193,056",236,0,0,0,0,0
Davido,"1,192,525",183,0,0,0,0,0
Macklemore,"1,192,154",0,1,0,0,0,0
Arcángel,"1,188,481",165,0,0,0,0,0
Classical Lullabies,"1,185,482",0,1,0,0,0,0
$uicideBoy$,"1,185,047","1,812",0,0,0,0,0
Guns N' Roses,"1,181,608",24,0,0,0,0,0
Timal,"1,176,187","1,280",0,0,0,0,0
NiziU,"1,172,288",89,0,0,0,0,0
Zola,"1,168,507",0,0,0,0,0,0
James Arthur,"1,168,131",0,0,0,0,0,0
IVE,"1,167,803","2,342",0,0,0,0,0
The Strokes,"1,167,208",51,1,0,0,0,0
Slipknot,"1,166,622",0,0,0,0,0,0
King Von,"1,165,198",6,0,0,0,0,0
Arcade Fire,"1,163,947",23,0,0,0,0,0
赤ちゃんのためのリラックス・オルゴール,"1,160,982",0,1,0,0,0,0
"KIDS SEE GHOSTS, Kanye West & Kid Cudi","1,155,936",0,1,0,0,0,0
Bushido,"1,155,154","2,232",0,0,0,0,0
Sezen Aksu,"1,152,053",74,0,0,0,0,0
Земфира,"1,150,539",281,0,0,0,0,0
Zé Neto & Cristiano,"1,149,836",114,0,0,0,0,0
Shiva,"1,149,288",571,0,0,0,0,0
MiyaGi,"1,148,361",107,1,0,0,0,0
2 Chainz,"1,140,571",0,0,0,0,0,0
Peter Fox,"1,138,828","1,453",0,0,0,0,0
Tiakola,"1,138,806","1,010",1,0,0,0,0
宇多田ヒカル,"1,135,292",251,0,0,0,0,0
Thiaguinho,"1,135,057",162,0,0,0,0,0
Ghali,"1,134,131",0,0,0,0,0,0
平井 大,"1,125,122",0,0,0,0,0,0
A.R. Rahman,"1,123,869","1,059",0,0,0,0,0
