Artist,Total,Today,1M,2M,3M,4M,5M
Marshmello & Bastille,"2,141,060",0,1,1,0,0,0
Udo Lindenberg & Apache 207,"2,130,421","2,390",1,1,0,0,0
"Bruno Mars, Anderson .Paak & Silk Sonic","2,126,156",0,1,0,0,0,0
Tate McRae,"2,123,161",118,0,0,0,0,0
Leony,"2,109,120","2,784",0,0,0,0,0
Adam Lambert,"2,104,527",93,1,0,0,0,0
Rema & Selena Gomez,"2,097,417",351,1,1,0,0,0
Chaël,"2,088,698","1,865",1,1,0,0,0
Calogero,"2,087,677",0,0,0,0,0,0
Tommee Profitt,"2,080,145",0,1,1,0,0,0
"Cardi B, Bad Bunny & J Balvin","2,072,688",46,1,1,0,0,0
ZHU,"2,064,470",188,1,0,0,0,0
Ricky Martin,"2,062,418",0,0,0,0,0,0
LSD,"2,055,648",0,1,0,0,0,0
Sam Smith & Normani,"2,047,648",0,1,1,0,0,0
Sting,"2,045,864",94,1,0,0,0,0
Booba,"2,036,562",0,0,0,0,0,0
Bigflo & Oli,"2,026,475",0,0,0,0,0,0
Tinie Tempah,"2,022,306",0,1,0,0,0,0
AWOLNATION,"2,013,662",203,1,0,0,0,0
Negramaro,"2,005,285",731,0,0,0,0,0
Miyagi & Эндшпиль,"2,004,467",177,0,0,0,0,0
Elodie,"2,001,972","2,312",0,0,0,0,0
Coldplay X BTS,"1,999,973",0,1,0,0,0,0
SHAMAN,"1,998,463","1,476",0,0,0,0,0
Freddy Kalas,"1,991,391",0,0,0,0,0,0
Depeche Mode,"1,987,037",652,0,0,0,0,0
Laura Pausini,"1,981,492",0,0,0,0,0,0
Alle Farben,"1,979,339",0,0,0,0,0,0
Bon Jovi,"1,973,331","2,408",0,0,0,0,0
The Cranberries,"1,969,912",764,1,0,0,0,0
Arctic Monkeys,"1,968,619",217,1,0,0,0,0
Die Toten Hosen,"1,967,877",272,0,0,0,0,0
Snollebollekes,"1,946,949",0,0,0,0,0,0
Emma Louise,"1,941,563","1,829",1,0,0,0,0
Justin Bieber & BloodPop®,"1,941,451",0,1,0,0,0,0
Mahmood,"1,934,477","1,449",0,0,0,0,0
"Fergie, Q-Tip & GoonRock","1,934,230",0,1,0,0,0,0
Selena Gomez & Marshmello,"1,933,550",0,1,0,0,0,0
Josh.,"1,933,418",124,0,0,0,0,0
Sheppard,"1,932,129",0,1,0,0,0,0
Nicky Jam,"1,926,009",0,0,0,0,0,0
Lartiste,"1,922,469",0,0,0,0,0,0
Giorgia,"1,920,622",0,0,0,0,0,0
Fabio Rovazzi,"1,919,918",0,0,0,0,0,0
Skrillex & Diplo,"1,916,226",0,1,0,0,0,0
"Black Eyed Peas, Shakira & David Guetta","1,915,631",0,1,0,0,0,0
Polina Gagarina,"1,910,056",0,0,0,0,0,0
Pentatonix,"1,909,856",0,1,0,0,0,0
Anna Naklab,"1,899,227",53,1,0,0,0,0
Cris Cab,"1,896,122",0,1,0,0,0,0
Orelsan,"1,895,509",0,0,0,0,0,0
Lena,"1,889,716","1,982",0,0,0,0,0
Marshmello & Anne-Marie,"1,873,047",0,1,0,0,0,0
Serebro,"1,872,097",0,0,0,0,0,0
Rea Garvey,"1,870,970",0,0,0,0,0,0
Purple Disco Machine & Kungs,"1,864,133",535,1,0,0,0,0
MAGIC!,"1,863,980",0,1,0,0,0,0
Jason Derulo & Nuka,"1,854,319",0,1,0,0,0,0
Claudio Capéo,"1,852,925",0,0,0,0,0,0
Macklemore,"1,850,927","1,129",0,0,0,0,0
Sangiovanni,"1,842,106",0,0,0,0,0,0
Tommaso Paradiso,"1,837,467",0,0,0,0,0,0
Sigrid,"1,832,839",0,0,0,0,0,0
Öwnboss & SEVEK,"1,826,374","1,566",1,0,0,0,0
Aloe Blacc,"1,825,064",88,0,0,0,0,0
Guns N' Roses,"1,822,485","1,144",0,0,0,0,0
Benji & Fede,"1,811,298",0,0,0,0,0,0
Tom Gregory,"1,808,335",0,0,0,0,0,0
Peggy Gou,"1,804,771",375,1,0,0,0,0
Cyril,"1,798,428","12,070",1,0,0,0,0
Lily Allen,"1,795,755",453,0,0,0,0,0
#2Маши,"1,793,007",0,0,0,0,0,0
Nicky Jam & J Balvin,"1,782,801",0,1,0,0,0,0
LEA,"1,781,477",0,0,0,0,0,0
BENNETT,"1,780,584","3,162",1,0,0,0,0
Juliette Armanet,"1,777,205",0,1,0,0,0,0
Lil Jon,"1,769,142",45,1,0,0,0,0
Chris Rea,"1,766,294",0,1,0,0,0,0
Ricchi & Poveri,"1,763,387","6,528",1,0,0,0,0
Johnny Hallyday,"1,763,098",0,0,0,0,0,0
Frank Sinatra,"1,760,852",83,0,0,0,0,0
Pablo Alborán,"1,752,653",0,0,0,0,0,0
George Michael,"1,752,085",236,0,0,0,0,0
MOT,"1,752,044",0,0,0,0,0,0
Revolverheld,"1,745,847",178,0,0,0,0,0
Cheek,"1,744,261",412,0,0,0,0,0
Sfera Ebbasta,"1,741,872",0,0,0,0,0,0
Duncan Laurence,"1,736,523",0,1,0,0,0,0
James Hype & Miggy Dela Rosa,"1,735,780",0,1,0,0,0,0
Gavin James,"1,725,249",0,0,0,0,0,0
Ylvis,"1,721,441",202,1,0,0,0,0
Desiigner,"1,719,874",0,1,0,0,0,0
Bad Bunny,"1,717,725",0,0,0,0,0,0
"Nathan Evans, 220 KID & Billen Ted","1,715,922",0,1,0,0,0,0
Modà,"1,714,658",100,0,0,0,0,0
Lady Gaga & Ariana Grande,"1,714,474",0,1,0,0,0,0
Stray Kids,"1,703,443",0,0,0,0,0,0
Laleh,"1,692,776",488,0,0,0,0,0
Ed Sheeran & Andrea Bocelli,"1,692,539",321,1,0,0,0,0
Егор Крид,"1,685,684",0,0,0,0,0,0
Lauren Daigle,"1,680,620",0,1,0,0,0,0
Red Hot Chili Peppers,"1,679,939",264,0,0,0,0,0
Train,"1,675,713",0,0,0,0,0,0
Namika,"1,673,989",0,0,0,0,0,0
Макс Барских,"1,672,190",0,0,0,0,0,0
