"","",Video,#,Highlights
150,-2,MILICA PAVLOVIC - PRASTAJ (OFFICIAL VIDEO) EP,3,"#21 Serbia, #18 Bosnia and Herzegovina, #16 Croatia"
151,-1,Aco Pejovic - Baraba (Official Video 2024),3,"#22 Serbia, #16 Bosnia and Herzegovina, #22 Croatia"
152,-3,BARBARA BOBAK - EDIP (OFFICIAL VIDEO),3,"#23 Serbia, #13 Bosnia and Herzegovina, #25 Croatia"
153,NEW,"NUCCI - DUNI, DUNI (Generacija Zed 2024)",4,"#29 Serbia, #30 Bosnia and Herzegovina, #14 Croatia"
154,=,THE HEART PART 6 - DRAKE,13,"#30 Lithuania, #27 Georgia, #12 Ireland"
155,-2,"Yuridia, Angela Aguilar - Qué Agonía [Letra]",4,"#30 Honduras, #22 El Salvador, #16 Nicaragua"
156,-1,meet the grahams,12,"#28 Lithuania, #24 Georgia, #9 Ireland"
157,-1,Geasy x Luiz Ejlli - Ding Ding,5,"#16 Greece, #7 Switzerland, #7 North Macedonia"
158,NEW,"C.R.O, Neo Pistea - Hustlers (Video Oficial)",3,"#27 Uruguay, #14 Paraguay, #21 Costa Rica"
159,-1,"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V",8,"#24 El Salvador, #20 Belarus, #19 Georgia"
160,-3,"WYA REMIX BLUE 🔵 - (Video Oficial) J Abdiel, IZaak, Hades 66, Corina Smith, Miky Woodz",4,"#29 Honduras, #20 Costa Rica, #18 Panama"
161,-9,Bizarrap x Lismar - SUBIÓ LA TEMPERATURA,4,"#21 Paraguay, #25 El Salvador, #26 Nicaragua"
162,-3,SANDRA AFRIKA FEAT. EMIR DJULOVIC - SKOTE MOJ (OFFICIAL VIDEO),3,"#19 Bulgaria, #27 Bosnia and Herzegovina, #19 Slovenia"
163,-3,RM 'Nuts' Live Video,4,"#26 Jordan, #29 Nicaragua, #30 Panama"
164,-3,"Anuel AA, Casper Magico, Luar La L & Izaak - Toki (Video Oficial)",4,"#15 El Salvador, #28 Nicaragua, #21 Panama"
165,-3,"Slimane - ""Mon Amour"" Live Finale de l'Eurovision 2024 !",3,"#25 Greece, #12 Belgium, #23 Cyprus"
166,-2,ELAI - GHETTO (ft. ???),3,"#24 Greece, #18 Switzerland, #23 North Macedonia"
167,-2,RM 'Come back to me' Official MV,6,"#21 El Salvador, #18 Georgia, #21 Singapore"
168,NEW,Buta ft. Noizy - I Kom Pa,3,"#30 Greece, #23 Switzerland, #24 North Macedonia"
169,NEW,Billie Eilish - CHIHIRO (Official Lyric Video),3,"#30 Lebanon, #29 Lithuania, #20 Ireland"
170,-3,Rauw Alejandro - Touching The Sky (Official Video),3,"#30 El Salvador, #25 Panama, #14 Puerto Rico"
171,-3,euphoria,9,"#13 Ireland, #16 Denmark, #12 Latvia"
172,NEW,Fireboy DML - Everyday (Official Video),3,"#20 Nigeria, #30 Ghana, #27 Uganda"
173,-4,OXXXYMIRON — МИР ГОРИТ (2024),4,"#14 Belarus, #21 Georgia, #6 Latvia"
174,-4,KIDA & OUALID - YA HABIBI,3,"#6 Switzerland, #29 Austria, #27 North Macedonia"
175,-3,bbno$ - it boy (official music video),4,"#29 Netherlands, #18 Denmark, #14 Estonia"
176,-3,K For Kalyanam - Video Song | Guruvayoorambala Nadayil | Prithviraj | Basil | Anaswara | Ankit Menon,3,"#18 United Arab Emirates, #19 Qatar, #9 Bahrain"
177,-3,BUSHIDO ZHO - далеко (большой Бушизм),3,"#11 Belarus, #9 Latvia, #22 Estonia"
178,-3,Twenty One Pilots - The Craving (single version) (Official Video),3,"#17 Ireland, #26 Denmark, #19 Norway"
