Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Icona Pop - Emergency,111,"",78,"","412,218","27,651,546"
Pharrell Williams - Cash In Cash Out,24,"",41,"","1,944,309","27,612,353"
Sam Feldt - Show Me Love,93,"",66,"","425,616","27,582,852"
The Kid LAROI - WITHOUT YOU,21,"",26,"","2,152,112","27,573,502"
"Agust D - People, Pt. 2",14,"",11,"","3,404,828","27,563,061"
Taylor Swift - Shake It Off (Taylor's Version),11,"",11,"","7,924,239","27,562,200"
Jovem Dionisio - ACORDA PEDRINHO,23,"",46,"","1,786,933","27,561,444"
5 Seconds of Summer - She's Kinda Hot,79,"",50,"","601,331","27,557,428"
Rixton - Me And My Broken Heart,118,"",32,"","465,429","27,553,136"
Ariana Grande - everytime,24,"",20,"","2,532,022","27,549,846"
Nelly Furtado - Promiscuous,36,"",143,"","1,276,687","27,540,254"
southstar - Miss You,25,"",69,"","1,461,749","27,533,068"
Aya Nakamura - Jolie nana,37,"",111,"","941,623","27,532,885"
Gabito Ballesteros - El Boss,21,"",113,"","1,493,090","27,505,390"
The Weeknd - Less Than Zero,19,"",20,"","3,100,148","27,469,339"
ITZY - In the morning,28,"",56,"","1,197,636","27,431,208"
KIDS SEE GHOSTS - Reborn,21,"",16,"","2,318,832","27,430,610"
Metro Boomin - Don't Come Out The House,30,"",39,"","1,514,872","27,316,677"
Bebe Rexha - I'm Gonna Show You Crazy,84,"",55,"","454,679","27,311,692"
Ariana Grande - off the table,21,1,6,"","4,447,198","27,305,333"
Iggy Azalea - Team,54,"",59,"","627,383","27,262,702"
Snakehips - Cruel,65,"",93,"","540,845","27,258,759"
5 Seconds of Summer - Want You Back,34,"",27,"","1,992,624","27,205,987"
George Michael - Careless Whisper,35,"",31,"","1,106,003","27,189,362"
Drake - After Dark,22,"",29,"","3,231,888","27,154,388"
Lil Yachty - 66,38,"",63,"","1,232,911","27,152,323"
Future - We Still Don't Trust You,14,"",19,"","3,460,945","27,150,224"
Tungevaag - Wicked Wonderland,110,"",60,"","396,456","27,147,403"
Rauw Alejandro - Enchule,35,"",134,"","935,487","27,133,217"
Lilly Wood and The Prick - Prayer In C (Robin Schulz Remix) [Radio Edit],42,"",37,"","712,887","27,110,152"
Axwell /\ Ingrosso - I Love You,55,"",125,"","602,503","27,088,827"
Bad Bunny - Está Cabrón Ser Yo,22,"",33,"","2,422,269","27,017,995"
Meek Mill - R.I.C.O.,85,"",56,"","543,838","27,004,846"
DJ Robin - Layla,24,"",35,"","1,845,257","26,980,317"
Taylor Swift - The Bolter,13,"",39,"","4,254,088","26,972,225"
Juju - Vermissen,31,"",59,"","1,235,117","26,944,177"
Jorge & Mateus - Molhando o Volante,31,"",89,"","1,066,624","26,942,781"
G-Eazy - Lady Killers II - Christoph Andersson Remix,19,"",77,"","1,696,544","26,928,350"
Tyla Yaweh - Tommy Lee,25,"",52,"","1,500,777","26,927,393"
Fuerza Regida - CRAZYZ,23,"",166,"","1,271,786","26,906,601"
Drake - Do Not Disturb,33,"",35,"","2,153,046","26,899,006"
Diplo - Welcome to the Party,33,"",70,"","1,027,083","26,897,467"
Big Sean - Blessings,110,"",59,"","421,396","26,894,085"
KAROL G - PERO TÚ,21,"",62,"","1,923,699","26,842,222"
ROSALÍA - SAOKO,27,"",40,"","1,711,441","26,840,365"
Nicky Jam - 69,22,"",140,"","1,386,348","26,796,994"
SOB X RBE - Paramedic!,32,"",57,"","1,312,615","26,779,571"
Apache 207 - Wieso tust Du dir das an?,30,"",45,"","1,480,164","26,777,248"
Travis Scott - DELRESTO (ECHOES),9,1,8,"","7,065,663","26,759,497"
Katy Perry - Harleys In Hawaii,28,"",33,"","1,717,302","26,733,744"
Nemo - The Code,12,"",17,"","3,576,700","26,654,783"
Madison Beer - Make You Mine,20,"",110,"","1,554,694","26,609,806"
Linkin Park - Lost,15,"",21,"","2,878,513","26,596,531"
Red Hot Chili Peppers - Dark Necessities,70,"",59,"","776,789","26,569,503"
TWICE - MORE & MORE,31,"",58,"","1,295,677","26,517,177"
Chance the Rapper - Hot Shower,35,"",45,"","1,486,284","26,510,697"
Metro Boomin - Raindrops (Insane) [with Travis Scott],15,"",26,"","2,798,723","26,501,209"
Kanye West - All Day,86,"",30,"","675,168","26,496,399"
Stray Kids - S-Class,19,"",42,"","2,237,745","26,484,903"
Bizarrap - YaMeFui,29,"",87,"","1,167,914","26,447,985"
Capital Bra - Cherry Lady,26,"",35,"","1,786,907","26,441,863"
Gusttavo Lima - Nota de Repúdio - Ao Vivo,29,"",84,"","1,125,658","26,345,671"
"Baby Tate - Hey, Mickey!",20,"",55,"","1,885,459","26,335,986"
Pashanim - Sommergewitter,30,"",92,"","1,186,860","26,325,464"
SHAED - Trampoline,33,"",46,"","1,536,495","26,288,833"
Taylor Swift - Glitch,16,"",34,"","2,916,058","26,288,412"
Myke Towers - Explícito,35,"",159,"","844,409","26,231,601"
V - Christmas Tree,30,"",68,"","1,461,650","26,224,215"
SZA - Seek & Destroy,14,"",14,"","3,780,301","26,199,622"
Florida Georgia Line - Simple,43,"",119,"","743,030","26,183,746"
Gaullin - Moonlight,38,"",143,"","806,824","26,178,542"
Billie Eilish - hotline (edit),18,"",73,"","1,682,027","26,173,820"
Joji - Run,22,"",24,"","2,276,211","26,168,091"
Sabrina Carpenter - Thumbs,52,"",145,"","591,084","26,135,250"
Tory Lanez - The Take,39,"",141,"","791,575","26,123,083"
RM - Wild Flower,14,"",13,"","3,604,749","26,108,329"
4batz - act ii: date @ 8,15,"",34,"","2,987,634","26,088,776"
Kygo - Forever Yours - Avicii Tribute,28,"",51,"","1,648,616","26,087,708"
Luísa Sonza - MODO TURBO,29,"",57,"","1,570,385","26,082,580"
Drake - Hours In Silence,12,"",11,"","5,650,910","26,019,841"
BTS - Telepathy,17,1,10,"","4,137,202","25,993,754"
BLACKPINK - Hard to Love,16,"",12,"","3,636,906","25,974,935"
Dalex - +Linda,38,"",156,"","779,483","25,959,853"
Taylor Swift - Clean (Taylor's Version),11,"",16,"","6,812,042","25,959,451"
Travis Scott - CAN'T SAY,27,"",29,"","2,854,929","25,933,734"
Shaggy - I Need Your Love,116,"",107,"","315,351","25,913,814"
Kanye West - CARNIVAL,5,4,1,(x4),"6,280,366","25,906,087"
Imagine Dragons - On Top Of The World,149,"",111,"","271,182","25,904,982"
Olivia Rodrigo - pretty isn’t pretty,14,"",19,"","3,765,790","25,901,986"
Kendrick Lamar - i,117,"",45,"","583,434","25,855,924"
Boney M. - Mary's Boy Child / Oh My Lord,23,"",58,"","1,915,844","25,855,461"
Bad Bunny - Hablamos Mañana,23,"",40,"","2,250,886","25,852,372"
Justin Bieber - Been You,55,"",34,"","1,040,316","25,796,907"
SZA - Love Language,14,"",19,"","3,583,349","25,757,483"
Russ Millions - Body,31,"",93,"","957,072","25,751,899"
Big Sean - No Favors,34,"",37,"","1,467,448","25,745,484"
Cash Cash - All My Love,44,"",105,"","657,893","25,730,209"
Kendrick Lamar - FEAR.,27,"",24,"","2,499,628","25,693,493"
Imagine Dragons - Shots - Broiler Remix,125,"",143,"","245,968","25,689,888"
2 Chainz - Bigger Than You,35,"",51,"","1,253,278","25,584,478"
Juice WRLD - Titanic,19,1,9,"","4,243,741","25,581,921"
